rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
130,Ricis Official,33300000,5994136760,People & Blogs,Ricis Official,2736,Indonesia,ID,Entertainment,1043,2,34,157101000,39300,628400,471300,7500000,1900000,2016,Jan,15,36.3,270203917,4.69,151509724,-0.789275,113.921327
131,BabyBus - Kids Songs and Cartoons,32800000,26355088167,Education,BabyBus - Kids Songs and Cartoons,2122,United States,US,Education,64,39,10,127498000,31900,510000,382500,6100000,200000,2016,Jul,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
132,Eros Now Music,32700000,17853798780,Entertainment,Mzaalo,1521,India,IN,Entertainment,8055,730,838,20263000,5100,81100,60800,972600,40000,2012,Mar,14,28.1,1366417754,5.36,471031528,20.593684,78.96288
133,BETER BпїЅпїЅ,32700000,19180039918,,BETER BпїЅпїЅ,2738,Turkey,TR,Games,137,1,11,1463000000,365900,5900000,4400000,70200000,2100000,2012,Dec,12,23.9,83429615,13.49,63097818,38.963745,35.243322
134,DisneyMusicVEVO,32700000,28516250629,Music,DisneyMusicVEVO,2068,United States,US,Music,50,40,45,329861000,82500,1300000,989600,15800000,300000,2010,May,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
135,The Weeknd,32600000,23379969006,Music,The Weeknd,169,Canada,CA,Music,85,3,45,373828000,93500,1500000,1100000,17900000,200000,2011,Feb,25,68.9,36991981,5.56,30628482,56.130366,-106.346771
136,WowKidz,32200000,16613441479,Film & Animation,wowkidz,2,,,Entertainment,4053139,,6723,1,0,0,0,0.05,,2006,Dec,16,,,,,,
137,KAROL G,32100000,18699145555,Music,KAROL G,134,Colombia,CO,Music,140,3,46,465647000,116400,1900000,1400000,22400000,300000,2013,Mar,14,55.3,50339443,9.71,40827302,4.570868,-74.297333
138,Mr Bean,32100000,10602236110,Shows,Mr Bean,3091,United Kingdom,GB,Comedy,400,4,5,56534000,14100,226100,169600,2700000,100000,2006,Jan,4,60,66834405,3.85,55908316,55.378051,-3.435973
139,rezendeevil,32100000,13061739758,Gaming,rezendeevil,11882,Brazil,BR,Entertainment,287,9,40,44505000,11100,178000,133500,2100000,,2012,Feb,12,51.3,212559417,12.08,183241641,-14.235004,-51.92528
140,StarPlus,32000000,26800674545,Entertainment,StarPlus,44892,India,IN,Entertainment,60,38,40,1667000000,416800,6700000,5000000,80000000,1200000,2006,May,19,28.1,1366417754,5.36,471031528,20.593684,78.96288
141,SMTOWN,31900000,27330239663,Music,SMTOWN,4158,,,Music,53,,47,233402000,58400,933600,700200,11200000,100000,2006,Mar,18,,,,,,
142,GMA  Network,31900000,19428308461,Entertainment,GMA  Network,93311,Philippines,PH,Entertainment,129,2,41,798510000,199600,3200000,2400000,38300000,500000,2006,Nov,20,35.5,108116615,2.15,50975903,12.879721,121.774017
143,GENIAL,31800000,6762424690,Howto & Style,GENIAL,6734,Mexico,MX,Howto,884,4,4,31455000,7900,125800,94400,1500000,,2017,Jun,1,40.2,126014024,3.42,102626859,23.634501,-102.552784
144,MR. INDIAN HACKER,31700000,5711208484,Science & Technology,MR. INDIAN HACKER,929,India,IN,Tech,1132,40,1,109125000,27300,436500,327400,5200000,500000,2012,Jun,21,28.1,1366417754,5.36,471031528,20.593684,78.96288
145,Worldwide Records Bhojpuri,31700000,16476978876,Music,Worldwide Records Bhojpuri,6518,India,IN,Music,177,39,48,112648000,28200,450600,337900,5400000,200000,2012,Mar,15,28.1,1366417754,5.36,471031528,20.593684,78.96288
146,DONA пїЅпїЅ,31700000,21031745531,Entertainment,DONA пїЅпїЅ,166,United States,US,Entertainment,110,41,42,153280000,38300,613100,459800,7400000,200000,2018,Apr,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
147,Dream,31700000,2930015381,Gaming,Dream,116,United States,US,Games,2986,41,12,27022000,6800,108100,81100,1300000,200000,2014,Feb,8,88.2,328239523,14.7,270663028,37.09024,-95.712891
148,Lucas and Marcus,31600000,11615848291,Entertainment,Lucas and Marcus,1321,United States,US,Entertainment,339,42,43,312099000,78000,1200000,936300,15000000,400000,2011,Jan,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
149,JustinBieberVEVO,31600000,26583873105,Music,JustinBieberVEVO,204,United States,US,Music,63,42,49,105126000,26300,420500,315400,5000000,,2009,Sep,26,88.2,328239523,14.7,270663028,37.09024,-95.712891
150,Luis Fonsi,31400000,15176762479,Entertainment,luisfonsi,0,,,,4057944,,,,0,0,0,0,,2006,Mar,31,,,,,,
151,Peppa Pig - Official Channel,31400000,22919271731,Film & Animation,Peppa Pig - Official Channel,3589,United Kingdom,GB,Education,91,5,11,244925000,61200,979700,734800,11800000,300000,2013,Oct,9,60,66834405,3.85,55908316,55.378051,-3.435973
152,YOLO AVENTURAS,31200000,9673649438,People & Blogs,YOLO AVENTURAS,65,Venezuela,VE,Comedy,3361188,522,2270,3589,0.9,14,11,172,100,2018,Dec,16,79.3,28515829,8.8,25162368,6.42375,-66.58973
153,The Tonight Show Starring Jimmy Fallon,31200000,17111726160,Comedy,The Tonight Show Starring Jimmy Fallon,8976,United States,US,Comedy,166,44,6,22511000,0,0,0,0,100000,2006,Jan,8,88.2,328239523,14.7,270663028,37.09024,-95.712891
154,TheDonato,31200000,6187804950,Entertainment,TheDonato,3027,Argentina,AR,Games,997,3,12,190679000,47700,762700,572000,9200000,1900000,2015,Feb,17,90,44938712,9.79,41339571,-38.416097,-63.616672
155,ImagineDragons,30700000,16793072362,Music,ImagineDragons,92,United States,US,Music,169,45,50,188837000,47200,755300,566500,9100000,100000,2009,Aug,3,88.2,328239523,14.7,270663028,37.09024,-95.712891
156,Diana and Roma ESP,30700000,12355992466,,Diana and Roma ESP,578,United States,US,Entertainment,313,45,45,102998000,25700,412000,309000,4900000,200000,2016,Nov,27,88.2,328239523,14.7,270663028,37.09024,-95.712891
157,Round2hell,30700000,3145161634,Comedy,Round2hell,67,India,IN,Entertainment,2687,41,45,31822000,8000,127300,95500,1500000,300000,2016,Oct,20,28.1,1366417754,5.36,471031528,20.593684,78.96288
158,Zee News,30500000,16709857823,News & Politics,Zee News,180092,India,IN,News,168,41,4,461472000,115400,1800000,1400000,22200000,600000,2007,Jun,19,28.1,1366417754,5.36,471031528,20.593684,78.96288
159,AboFlah,30500000,4521573939,Gaming,AboFlah,641,Kuwait,KW,Entertainment,1573,1,7,157908000,39500,631600,473700,7600000,1300000,2016,Jul,28,54.4,4207083,2.18,4207083,29.31166,47.481766
160,AH,30400000,4332274962,Entertainment,AH,2197,Indonesia,ID,Entertainment,1701,4,46,21440000,5400,85800,64300,1000000,,2014,Jan,26,36.3,270203917,4.69,151509724,-0.789275,113.921327
161,Trap Nation,30400000,14037426379,Music,Trap Nation,2725,United States,US,Music,255,46,51,45822000,11500,183300,137500,2200000,,2012,Sep,23,88.2,328239523,14.7,270663028,37.09024,-95.712891
162,эээээээээээээээ ээээээ ээээээээээээээээээ,30400000,17999961915,,эээээээээээээээ ээээээ ээээээээээээээээээ,532,United States,US,Entertainment,147,46,46,122926000,30700,491700,368800,5900000,300000,2018,Nov,3,88.2,328239523,14.7,270663028,37.09024,-95.712891
163,Boram Tube Vlog [пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпї,30300000,13546549817,Entertainment,Boram Tube Vlog [пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпї,223,United States,US,Entertainment,269,47,47,22724000,5700,90900,68200,1100000,,2012,Feb,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
164,Adele,30200000,14199108016,Music,Adele,15,United Kingdom,GB,Music,248,6,53,137099000,34300,548400,411300,6600000,100000,2008,Apr,4,60,66834405,3.85,55908316,55.378051,-3.435973
165,Talking Tom,30200000,15199330166,Comedy,TalkingTom,2,United States,US,Entertainment,4057345,7736,6776,,0,0,0,0,,2008,Jun,27,88.2,328239523,14.7,270663028,37.09024,-95.712891
166,ээээээээ ээээээээ ээээээээээ | toyoraljanahtv,30200000,27684955537,Entertainment,ээээээээ ээээээээ ээээээээээ | toyoraljanahtv,3254,Jordan,JO,Music,51,1,52,116434000,29100,465700,349300,5600000,100000,2008,Nov,24,34.4,10101694,14.72,9213048,30.585164,36.238414
167,Frost Diamond,30100000,7277493940,Gaming,frostdiamond,0,,,,4057944,,,,0,0,0,0,6,2006,Aug,10,,,,,,
168,Spinnin' Records,30100000,19607009165,Music,Spinnin' Records,11501,Netherlands,NL,Music,127,1,54,100040000,25000,400200,300100,4800000,100000,2007,Jul,12,85,17332850,3.2,15924729,52.132633,5.291266
169,Little Angel: Nursery Rhymes & Kids Songs,30100000,22593193994,Education,Little Angel: Nursery Rhymes & Kids Songs,1349,United States,US,Education,95,49,12,107525000,26900,430100,322600,5200000,,2015,Dec,14,88.2,328239523,14.7,270663028,37.09024,-95.712891
170,jacksepticeye,30100000,16246625836,Gaming,jacksepticeye,5114,,,Games,183,2,14,40425000,10100,161700,121300,1900000,100000,2007,Feb,24,,,,,,
171,Shawn Mendes,30000000,12831200855,Music,Shawn Mendes,133,Canada,CA,Music,295,4,55,88749000,22200,355000,266200,4300000,,2011,Jan,19,68.9,36991981,5.56,30628482,56.130366,-106.346771
172,ashish chanchlani vines,29800000,4457913639,Comedy,ashish chanchlani vines,151,India,IN,Comedy,1622,42,8,26171000,6500,104700,78500,1300000,100000,2009,Jul,6,28.1,1366417754,5.36,471031528,20.593684,78.96288
173,Ultra Records,29600000,17208027242,Music,Ultra Records,4903,United States,US,Music,165,50,56,81884000,20500,327500,245700,3900000,,2006,Oct,24,88.2,328239523,14.7,270663028,37.09024,-95.712891
174,Popular on YouTube,29300000,0,,Popular on Youtube,3,,,Education,4019724,,4847,1,0,0,0,0.05,,2017,Aug,7,,,,,,
175,Maluma,29300000,21226945136,Music,MaLuMa,14,Argentina,AR,People,4051498,3624,7658,15,0,0.06,0.05,0.72,,2015,Oct,31,90,44938712,9.79,41339571,-38.416097,-63.616672
176,Zhong,29200000,14727238483,Entertainment,Zhong,1513,United States,US,Entertainment,230,51,48,180519000,0,0,0,0,1000000,2015,Jan,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
177,Enaldinho,29200000,11627437847,Comedy,Enaldinho,3654,Brazil,BR,Games,338,10,15,303100000,75800,1200000,909300,14500000,1000000,2012,Nov,7,51.3,212559417,12.08,183241641,-14.235004,-51.92528
178,AuronPlay,29200000,4079141673,Comedy,AuronPlay,404,Spain,ES,Comedy,1852,3,9,12143000,3000,48600,36400,582900,,2006,Feb,28,88.9,47076781,13.96,37927409,40.463667,-3.74922
179,Shorts Break,29000000,19466238065,Comedy,shorts break,42,,,,3997024,,,60805,15,243,182,2900,151,2021,Jan,28,,,,,,
180,infobells - Tamil,28900000,17930570614,Education,infobells - Tamil,555,India,IN,Education,149,44,13,109828000,27500,439300,329500,5300000,200000,2014,Mar,13,28.1,1366417754,5.36,471031528,20.593684,78.96288
181,Aditya Music India,28500000,25857994495,Music,Aditya Music,0,,,Music,4057944,,4721,,0,0,0,0,,2010,Dec,16,,,,,,
182,The Late Late Show with James Corden,28400000,9956764048,Entertainment,The Late Late Show with James Corden,5809,United States,US,Entertainment,445,53,49,26435000,6600,105700,79300,1300000,,2006,Nov,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
183,Aditya Movies,28400000,10062770060,Movies,Aditya Movies,5436,India,IN,Film,432,45,11,227355000,56800,909400,682100,10900000,500000,2012,Feb,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
184,Masha y el Oso,28300000,13577142726,Film & Animation,Masha y El oso,6,,,,4057907,,,2,0,0.01,0.01,0.1,,2019,Jul,21,,,,,,
185,infobells - Telugu,28300000,14814192034,Education,infobells - Telugu,505,India,IN,Education,223,45,14,288110000,72000,1200000,864300,13800000,800000,2014,Mar,13,28.1,1366417754,5.36,471031528,20.593684,78.96288
186,HUM TV,28300000,23844936965,Entertainment,HUM TV,106983,Pakistan,PK,Entertainment,80,3,49,684860000,171200,2700000,2100000,32900000,700000,2011,May,25,9,216565318,4.45,79927762,30.375321,69.345116
187,Shemaroo Movies,28200000,7600740993,Entertainment,Shemaroo Movies,3009,India,IN,Film,721,46,13,184966000,46200,739900,554900,8900000,500000,2011,Mar,1,28.1,1366417754,5.36,471031528,20.593684,78.96288
188,Michael Jackson,28200000,14412474625,Music,Michael Jackson,15,United States,US,Music,242,54,59,158591000,39600,634400,475800,7600000,200000,2005,Jun,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
189,Drake,28100000,15318895118,Music,drake,3,,,Film,4011030,,4909,31,0.01,0.12,0.09,1,1,2005,Sep,23,,,,,,
190,Goldmines Dishoom,28000000,8603468420,Film & Animation,Goldmines Dishoom,3878,,,Film,587,,14,129211000,32300,516800,387600,6200000,400000,2016,Nov,26,,,,,,
191,Sandeep Maheshwari,27800000,2303069221,People & Blogs,Sandeepmaheshwari,0,Singapore,SG,,4057944,3017,,,0,0,0,0,1,2008,Jan,2,84.8,5703569,4.11,5703569,1.352083,103.819836
192,Bounce Patrol - Kids Songs,27800000,21037851468,Music,Bounce Patrol - Kids Songs,292,Australia,AU,Music,111,1,61,127441000,31900,509800,382300,6100000,,2013,Jan,1,113.1,25766605,5.27,21844756,-25.274398,133.775136
193,toycantando,27700000,15777682516,Music,toycantando,619,Colombia,CO,Music,197,4,62,173836000,43500,695300,521500,8300000,200000,2009,Jul,7,55.3,50339443,9.71,40827302,4.570868,-74.297333
194,MrBeast 2,27500000,4552581106,People & Blogs,Leaux Pass,27,United States,US,Music,2161873,5889,4311,649,0,0,0,0,,2011,Jun,23,88.2,328239523,14.7,270663028,37.09024,-95.712891
195,Wiz Khalifa,27500000,13379395501,Music,Wiz Khalifa,682,United States,US,Music,275,57,63,90450000,22600,361800,271300,4300000,100000,2008,May,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
196,JYP Entertainment,27400000,19883150017,Music,JYP Entertainment,1753,South Korea,KR,Music,124,4,64,307631000,76900,1200000,922900,14800000,200000,2008,Jan,25,94.3,51709098,4.15,42106719,35.907757,127.766922
197,эээ Kids Roma Show,27400000,10336420490,People & Blogs,эээ Kids Roma Show,642,United States,US,Entertainment,418,58,50,175844000,44000,703400,527500,8400000,400000,2015,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
198,DanTDM,27400000,19417887510,Gaming,DanTDM,3664,United Kingdom,GB,Games,132,7,16,78668000,19700,314700,236000,3800000,500000,2012,Jul,14,60,66834405,3.85,55908316,55.378051,-3.435973
199,Nick Jr.,27300000,22440611155,Film & Animation,Nick Jr.,5438,United States,US,Entertainment,100,59,51,42546000,10600,170200,127600,2000000,200000,2012,Sep,27,88.2,328239523,14.7,270663028,37.09024,-95.712891
200,Crazy XYZ,27300000,7705492350,Entertainment,Crazy XYZ,1259,India,IN,Tech,707,48,2,102235000,25600,408900,306700,4900000,100000,2017,Sep,10,28.1,1366417754,5.36,471031528,20.593684,78.96288
201,ToyPuddingTV,27100000,15916882228,Entertainment,ToyPudding TV[пїЅпїЅпїЅпїЅп,2,,,People,4052296,,7692,14,0,0.06,0.04,0.67,,2017,Jun,7,,,,,,
202,Dushyant kukreja,27100000,17318452893,Entertainment,Dushyant kukreja,889,India,IN,Entertainment,159,49,52,429692000,107400,1700000,1300000,20600000,700000,2015,Sep,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
203,Gulshan Kalra,27100000,12732444881,Howto & Style,Gulshan Kalra,545,,,Howto,296,,5,502779000,125700,2000000,1500000,24100000,1300000,2018,Apr,9,,,,,,
204,Brent Rivera,27000000,6570935979,Comedy,Brent Rivera,554,United States,US,Entertainment,909,60,53,144453000,36100,577800,433400,6900000,300000,2009,Aug,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
205,Renato Garcia YT,26900000,7938616641,Entertainment,Renato Garcia YT,3956,Brazil,BR,Entertainment,664,11,54,82912000,20700,331600,248700,4000000,200000,2011,Sep,29,51.3,212559417,12.08,183241641,-14.235004,-51.92528
206,Beast Reacts,26700000,4388047013,People & Blogs,Beast Reacts,241,United States,US,Entertainment,1632,61,54,276187000,69000,1100000,828600,13300000,1200000,2016,Apr,24,88.2,328239523,14.7,270663028,37.09024,-95.712891
207,enchufetv,26700000,10317306313,Comedy,enchufetv,975,Colombia,CO,Comedy,420,5,11,24363000,6100,97500,73100,1200000,,2011,Nov,13,55.3,50339443,9.71,40827302,4.570868,-74.297333
208,Netflix,26700000,7173668905,Entertainment,Netflix,6471,United States,US,Entertainment,797,62,55,118226000,29600,472900,354700,5700000,200000,2012,Jul,17,88.2,328239523,14.7,270663028,37.09024,-95.712891
209,Raffy Tulfo in Action,26500000,15065753455,News & Politics,Raffy Tulfo in Action,10022,Philippines,PH,News,219,3,5,163130000,40800,652500,489400,7800000,300000,2016,Apr,20,35.5,108116615,2.15,50975903,12.879721,121.774017
210,WORLDSTARHIPHOP,26500000,20358117330,Music,WORLDSTARHIPHOP,6873,United States,US,Music,117,63,65,89098000,22300,356400,267300,4300000,,2008,Nov,8,88.2,328239523,14.7,270663028,37.09024,-95.712891
211,Goldmines Bollywood,26400000,8595760553,Film & Animation,Goldmines Bollywood,3622,India,IN,Film,588,50,15,99677000,24900,398700,299000,4800000,400000,2015,Jul,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
212,Alan Chikin Chow,26400000,27006526665,Comedy,Alan Chikin Chow,865,United States,US,Comedy,61,63,12,1046000000,261500,4200000,3100000,50200000,1300000,2020,Feb,3,88.2,328239523,14.7,270663028,37.09024,-95.712891
213,PANDA BOI,26400000,17211600007,Entertainment,PANDA BOI,967,Italy,IT,Entertainment,158,1,55,1225000000,306400,4900000,3700000,58800000,2000000,2020,Dec,5,61.9,60297396,9.89,42651966,41.87194,12.56738
214,BB Ki Vines,26300000,4749833967,Entertainment,BB Ki Vines,190,India,IN,Entertainment,1462,51,57,17264000,4300,69100,51800,828600,,2015,Jun,20,28.1,1366417754,5.36,471031528,20.593684,78.96288
215,D Billions,26200000,31977463002,,D Billions,775,United States,US,Entertainment,33,64,58,487076000,121800,1900000,1500000,23400000,200000,2019,Jul,27,88.2,328239523,14.7,270663028,37.09024,-95.712891
216,Junya.пїЅпїЅпїЅпїЅ,26200000,16097531087,Entertainment,Junya.пїЅпїЅпїЅпїЅ,5985,Japan,JP,Entertainment,184,2,56,721848000,180500,2900000,2200000,34600000,1100000,2020,Sep,14,63.2,126226568,2.29,115782416,36.204824,138.252924
217,Smosh,26100000,10435474336,Comedy,Smosh,1619,United States,US,Comedy,410,65,13,68156000,17000,272600,204500,3300000,400000,2005,Nov,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
218,1MILLION Dance Studio,26100000,7886440199,Entertainment,1MILLION Dance Studio,0,Saudi Arabia,SA,Music,4057944,3695,5641,,0,0,0,0,,2019,Jul,13,68,34268528,5.93,28807838,23.885942,45.079162
219,NichLmao,26000000,14101010609,People & Blogs,NichLmao,868,,,People,249,,6,606362000,151600,2400000,1800000,29100000,1100000,2018,Sep,25,,,,,,
220,Beyoncпї,26000000,17308961985,Music,Beyoncпї,240,United States,US,Music,163,66,66,55454000,13900,221800,166400,2700000,,2005,Nov,7,88.2,328239523,14.7,270663028,37.09024,-95.712891
221,MarпїЅпїЅпїЅпїЅпїЅ,26000000,18597534412,Music,mariliamendonca,1,,,Music,4057142,,4914,3,0,0.01,0.01,0.14,3,2008,Jun,14,,,,,,
222,Indosiar,25900000,11372071889,Music,Indosiar,65286,Indonesia,ID,Entertainment,358,5,60,230183000,57500,920700,690500,11000000,600000,2013,Sep,23,36.3,270203917,4.69,151509724,-0.789275,113.921327
223,VanossGaming,25800000,15541421838,Gaming,VanossGaming,1762,Canada,CA,Games,206,5,17,54947000,13700,219800,164800,2600000,,2011,Sep,15,68.9,36991981,5.56,30628482,56.130366,-106.346771
224,David Guetta,25700000,17793809548,Music,David Guetta,749,United States,US,Music,153,67,67,164215000,41100,656900,492600,7900000,100000,2009,Dec,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
225,LosPolinesios,25700000,7466926260,People & Blogs,LosPolinesios,982,Mexico,MX,People,746,8,7,30501000,7600,122000,91500,1500000,,2012,Dec,16,40.2,126014024,3.42,102626859,23.634501,-102.552784
226,Nicki Minaj,25700000,10242981063,Music,Nicki Minaj,42,United States,US,Music,425,67,67,103631000,25900,414500,310900,5000000,100000,2013,Aug,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
227,Fede Vigevani,25600000,7962725960,Howto & Style,Fede Vigevani,0,,,,4057944,,,,0,0,0,0,2,2019,Aug,1,,,,,,
228,TaylorSwiftVEVO,25600000,25592378292,Music,TaylorSwiftVEVO,287,United States,US,Music,67,68,68,318593000,79600,1300000,955800,15300000,100000,2009,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
229,ZHC,25500000,2726917087,Film & Animation,zhc,5,,,Entertainment,4042995,,6739,20,0.01,0.08,0.06,0.96,4,2006,Jan,24,,,,,,
230,Post Malone,25500000,14401218086,Music,Post Malone,78,United States,US,Music,243,69,69,195499000,48900,782000,586500,9400000,100000,2011,Dec,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
231,Rans Entertainment,25400000,6430853035,People & Blogs,Rans Entertainment,3716,Indonesia,ID,Entertainment,942,6,62,58487000,14600,233900,175500,2800000,100000,2015,Dec,27,36.3,270203917,4.69,151509724,-0.789275,113.921327
232,LankyBox,25400000,34300482066,Comedy,LankyBox,8775,United States,US,Games,29,69,18,815341000,203800,3300000,2400000,39100000,600000,2016,Jul,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
233,Coldplay,25300000,17331663193,Music,Coldplay,398,United Kingdom,GB,Music,160,8,70,198875000,49700,795500,596600,9500000,100000,2010,Jan,3,60,66834405,3.85,55908316,55.378051,-3.435973
234,Las Ratitas,25200000,9602246828,People & Blogs,LAS RATITAS,4,,,People,4051936,,7690,11,0,0.04,0.03,0.53,,2019,May,31,,,,,,
235,WB Kids,25200000,11081602368,People & Blogs,WB Kids,2025,United States,US,Film,375,70,16,140319000,35100,561300,421000,6700000,300000,2015,Mar,31,88.2,328239523,14.7,270663028,37.09024,-95.712891
236,ABPLIVE,25200000,7968363381,People & Blogs,ABPLIVE,12,,,People,4026389,,7421,2,0,0.01,0.01,0.1,,2014,Jul,26,,,,,,
237,Chris Brown,25200000,15520569496,Music,ChrisBrown,0,,,,3612215,,,,0,0,0,0,,,,,,,,,,
238,The Lallantop,25200000,10409352249,News & Politics,The Lallantop,51129,India,IN,News,408,52,6,273920000,68500,1100000,821800,13100000,300000,2015,Mar,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
239,RihannaVEVO,25100000,19458807708,Music,RihannaVEVO,118,United States,US,Music,130,71,72,94246000,23600,377000,282700,4500000,,2009,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
240,WatchMojo.com,25100000,16357064198,Music,WatchMojo.com,24837,Canada,CA,Entertainment,180,6,64,49009000,12300,196000,147000,2400000,,2007,Jan,25,68.9,36991981,5.56,30628482,56.130366,-106.346771
241,TRANS7 OFFICIAL,25000000,14169516119,Entertainment,TRANS7 OFFICIAL,89179,Indonesia,ID,Entertainment,251,7,64,123189000,30800,492800,369600,5900000,100000,2014,Sep,4,36.3,270203917,4.69,151509724,-0.789275,113.921327
242,Anuel AA,25000000,14827085149,Music,Anuel AA,147,Colombia,CO,Music,225,6,73,284144000,71000,1100000,852400,13600000,300000,2016,Sep,8,55.3,50339443,9.71,40827302,4.570868,-74.297333
243,Dan Rhodes,24800000,17387583720,Entertainment,Dan Rhodes,1644,United Kingdom,GB,Entertainment,157,9,66,331889000,83000,1300000,995700,15900000,500000,2015,Oct,30,60,66834405,3.85,55908316,55.378051,-3.435973
244,Yuya,24800000,2588501115,Howto & Style,Yuya,672,Mexico,MX,Howto,3505,9,6,336291,84,1300,1000,16100,,2009,Sep,20,40.2,126014024,3.42,102626859,23.634501,-102.552784
245,America's Got Talent,24800000,3699352704,Entertainment,America's Got Talent,1894,United States,US,Entertainment,2122,72,65,134412000,33600,537600,403200,6500000,400000,2006,Jun,29,88.2,328239523,14.7,270663028,37.09024,-95.712891
246,mujjuu___14,24800000,14655527943,People & Blogs,mujjuu___14,872,,,People,234,,8,400222000,100100,1600000,1200000,19200000,900000,2020,May,18,,,,,,
247,EminemVEVO,24700000,20531704527,Music,EminemVEVO,104,United States,US,Music,115,73,74,139443000,34900,557800,418300,6700000,100000,2009,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
248,Chloe Ting,24700000,2994726412,Howto & Style,Chloe Ting,412,Australia,AU,Howto,2897,2,7,23263000,5800,93100,69800,1100000,,2011,Aug,17,113.1,25766605,5.27,21844756,-25.274398,133.775136
249,KatyPerryVEVO,24600000,23755792542,Music,KatyPerryVEVO,175,United States,US,Music,82,74,75,88940000,22200,355800,266800,4300000,100000,2009,Dec,13,88.2,328239523,14.7,270663028,37.09024,-95.712891
250,Mark Rober,24600000,3647987299,Science & Technology,Mark Rober,120,United States,US,Tech,2178,74,3,88625000,22200,354500,265900,4300000,200000,2011,Oct,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
251,1theK (пїЅпїЅпїЅпїЅп,24500000,23962070944,Music,1theK (пїЅпїЅпїЅпїЅп,18950,South Korea,KR,Entertainment,79,6,67,105567000,26400,422300,316700,5100000,,2011,Jan,31,94.3,51709098,4.15,42106719,35.907757,127.766922
252,Like Nastya AE,24400000,12385924995,Entertainment,Like Nastya AE,658,United States,US,Entertainment,312,75,68,169865000,42500,679500,509600,8200000,400000,2018,Dec,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
253,Amit Bhadana,24300000,2380248899,Entertainment,Amit Bhadana,17,,,People,4054185,,7710,5,0,0.02,0.02,0.24,,2009,Dec,31,,,,,,
254,Pen Movies,24300000,6608773195,Film & Animation,Pen Movies,1667,India,IN,Film,903,53,17,94853000,23700,379400,284600,4600000,300000,2014,Mar,25,28.1,1366417754,5.36,471031528,20.593684,78.96288
255,MrBeast en EspaпїЅп,24200000,2700914170,Entertainment,MrBeast en EspaпїЅп,67,Mexico,MX,Entertainment,3309,10,70,33590000,8400,134400,100800,1600000,100000,2021,Jul,9,40.2,126014024,3.42,102626859,23.634501,-102.552784
256,shfa show India,24200000,15724160183,,shfa show India,469,United Arab Emirates,AE,People,203,3,9,151208000,37800,604800,453600,7300000,200000,2019,Apr,1,36.8,9770529,2.35,8479744,23.424076,53.847818
257,Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870,,Super JoJo - Nursery Rhymes & Kids Songs,36,United States,US,Education,40117,77,15,328503000,82100,1300000,985500,15800000,100000,2019,May,31,88.2,328239523,14.7,270663028,37.09024,-95.712891
258,Alejo Igoa,24100000,10999000479,Comedy,Alejo Igoa,802,Argentina,AR,Entertainment,376,4,71,401512000,100400,1600000,1200000,19300000,600000,2014,Jan,17,90,44938712,9.79,41339571,-38.416097,-63.616672
259,Daniel LaBelle,24100000,12916159065,Comedy,Daniel LaBelle,287,,,Comedy,290,,14,398765000,99700,1600000,1200000,19100000,700000,2009,Mar,11,,,,,,
260,netd mпїЅпї,24100000,56106087508,Music,netd mпїЅпї,23491,Turkey,TR,Music,14,2,76,424815000,106200,1700000,1300000,20400000,200000,2014,Jan,23,23.9,83429615,13.49,63097818,38.963745,35.243322
261,DJ Snake,24100000,8425505919,Music,DJ Snake,252,United States,US,Music,602,77,76,63293000,15800,253200,189900,3000000,,2008,Sep,24,88.2,328239523,14.7,270663028,37.09024,-95.712891
